Country,d+,d-,Ci
BE,8.545803289,0.457898483,0.050856691
BG,8.815296584,0.213331651,0.023628357
CZ,8.625291727,0.380715448,0.0422735
DK,8.41757244,0.586996042,0.065188692
DE,8.566544568,0.437842406,0.048625454
EE,8.321040675,0.68516945,0.076077444
IE,8.392906708,0.61078471,0.067837144
EL,8.783658928,0.237889788,0.026369063
ES,8.544081311,0.459442071,0.051029142
FR,8.488680472,0.515471499,0.057248201
HR,8.663992125,0.343818063,0.038168884
IT,8.63407912,0.370820893,0.041179901
CY,8.47200989,0.532659639,0.059153713
LV,8.462981453,0.543901627,0.060387331
LT,8.500987587,0.504911253,0.056064504
LU,8.512385336,0.49056713,0.054489584
HU,8.707784517,0.304868802,0.033826753
MT,8.62262557,0.380794565,0.042294435
NL,8.543719418,0.459632573,0.051051272
AT,8.51375223,0.490242812,0.054447255
PL,8.720735074,0.291275233,0.032320783
PT,8.522181736,0.481320532,0.053459256
RO,8.763759662,0.246434733,0.027350657
SI,8.596849883,0.408147306,0.045324534
SK,8.662425436,0.344147277,0.038210681
FI,8.124995493,0.886229264,0.09834726
SE,8.139997378,0.870486383,0.096608174
