Country,2015,2016,2017,2018,2019,2020
BE,15,15,15,14,14,14
BG,27,27,27,27,27,27
CZ,18,18,19,21,18,18
DK,5,5,5,5,5,5
DE,16,16,16,16,15,15
EE,3,3,3,3,3,3
IE,4,4,4,4,4,4
EL,20,22,26,19,20,20
ES,13,13,14,12,13,13
FR,8,8,8,7,8,8
HR,22,24,22,23,23,22
IT,21,20,20,18,21,21
CY,7,6,7,6,7,7
LV,6,7,6,10,6,6
LT,9,11,9,13,12,12
LU,11,12,10,8,9,9
HU,24,23,23,24,22,23
MT,19,19,18,20,24,24
NL,14,14,13,15,16,16
AT,10,9,11,11,10,10
PL,25,25,24,25,25,25
PT,12,10,12,9,11,11
RO,26,26,25,26,26,26
SI,17,17,17,17,17,17
SK,23,21,21,22,19,19
FI,1,1,1,1,1,1
SE,2,2,2,2,2,2
