Country,low,medium,high
BE,-0.018335696,0.153660644,0.325656985
BG,0.225307835,0.709725958,1.194144081
CZ,-0.133426213,0.246519043,0.626464298
DK,-0.001253948,0.000881042,0.003016032
DE,-0.006267868,0.168016474,0.342300816
EE,-0.001411834,0.003376707,0.008165247
IE,-0.004881094,0.003980545,0.012842183
EL,0.167353258,0.633158861,1.098964464
ES,-0.016700161,0.159451131,0.335602424
FR,-0.203661684,0.002531877,0.208725438
HR,-0.091515681,0.323600205,0.738716091
IT,-0.073558152,0.287007502,0.647573157
CY,0.000784264,0.009169925,0.017555585
LV,0.003718708,0.014314894,0.02491108
LT,-0.006363934,0.005889255,0.018142443
LU,0.029941196,0.19745838,0.364975564
HU,-0.002227775,0.440706616,0.883641006
MT,0.282886654,0.418302386,0.553718118
NL,0.061501615,0.224538476,0.387575336
AT,-0.108193383,0.080428056,0.269049494
PL,0.039738966,0.478412369,0.917085772
PT,-0.047958067,0.13645613,0.320870326
RO,0.215339141,0.617333138,1.019327136
SI,-0.188950345,0.179666013,0.54828237
SK,-0.04267301,0.346318507,0.735310025
FI,-0.001059349,0.00052068,0.002100708
SE,-0.002444581,0.001297356,0.005039292
