Ai,TOPSIS,TOPSIS dir
BE,0.017371750437104157,-1.0
BG,0.00524408971937517,1.0
CZ,0.013742424692671397,-1.0
DK,0.01834174896363019,-1.0
DE,0.012783939017474363,-1.0
EE,0.013481207855787445,-1.0
IE,0.018961632754630364,-1.0
EL,0.06016627159632015,-1.0
ES,0.022145481752344705,-1.0
FR,0.014915406116927016,-1.0
HR,0.015421556897196768,-1.0
IT,0.021778910475199472,-1.0
CY,0.02302022491324586,-1.0
LV,0.024741013655889706,-1.0
LT,0.02818745981764647,-1.0
LU,0.014699715885371176,1.0
HU,0.020200178523502504,1.0
MT,0.04403877391537261,-1.0
NL,0.024169130055152945,-1.0
AT,0.01365687976470821,-1.0
PL,0.020965037012719893,-1.0
PT,0.01888265068565818,-1.0
RO,0.009804301586980212,-1.0
SI,0.010769955831952033,1.0
SK,0.009170584365685311,1.0
FI,0.0037728347431278553,-1.0
SE,0.010355025855335907,-1.0
