Country,Variability,Direction,Fuzzy DARIA-TOPSIS pref,Fuzzy DARIA-TOPSIS rank
BE,0.017371750437104157,$\downarrow$,0.029260552558095697,16
BG,0.00524408971937517,$\uparrow$,0.029199075450672525,17
CZ,0.013742424692671397,$\downarrow$,0.02725269106726766,18
DK,0.01834174896363019,$\downarrow$,0.040925077451686734,9
DE,0.012783939017474363,$\downarrow$,0.03280466527148247,12
EE,0.013481207855787445,$\downarrow$,0.0576384412412174,4
IE,0.018961632754630364,$\downarrow$,0.04271152095418371,8
EL,0.06016627159632015,$\downarrow$,-0.021074037842421692,27
ES,0.022145481752344705,$\downarrow$,0.024774077366308617,19
FR,0.014915406116927016,$\downarrow$,0.03844452354504607,10
HR,0.015421556897196768,$\downarrow$,0.022027148240187183,20
IT,0.021778910475199472,$\downarrow$,0.016325756598658443,24
CY,0.02302022491324586,$\downarrow$,0.030999292985555038,14
LV,0.024741013655889706,$\downarrow$,0.02944239595321106,15
LT,0.02818745981764647,$\downarrow$,0.020138520620538093,22
LU,0.014699715885371176,$\uparrow$,0.06745580226687067,3
HU,0.020200178523502504,$\uparrow$,0.05757236627964632,5
MT,0.04403877391537261,$\downarrow$,-0.009857305152363036,26
NL,0.024169130055152945,$\downarrow$,0.020991470806489772,21
AT,0.01365687976470821,$\downarrow$,0.037302170076769274,11
PL,0.020965037012719893,$\downarrow$,0.010188984784957604,25
PT,0.01888265068565818,$\downarrow$,0.031192791635652643,13
RO,0.009804301586980212,$\downarrow$,0.01824094651753571,23
SI,0.010769955831952033,$\uparrow$,0.05482004494693768,6
SK,0.009170584365685311,$\uparrow$,0.04881355882259245,7
FI,0.0037728347431278553,$\downarrow$,0.09265565433895537,1
SE,0.010355025855335907,$\downarrow$,0.08172351055271598,2
