,2015,2016,2017,2018,2019,2020
BE,0.048987703991184815,0.0487481297082637,0.050856691426367395,0.049756743146722134,0.04674175885129097,0.046632302995199854
BG,0.023536040878263317,0.023662096526554453,0.023628356999049718,0.024119527061711384,0.024057626089952742,0.023954985731297354
CZ,0.042610377014086695,0.04203059860836958,0.042273500440867064,0.039632487255658086,0.04075733888258467,0.040995115759939055
DK,0.06292794583290447,0.06302164142634806,0.0651886921216751,0.06230958315758783,0.059445404479319806,0.05926682641531693
DE,0.04724739925343351,0.04743948286441489,0.04862545415773574,0.04736824975754075,0.04543854991746458,0.045588604288956835
EE,0.07320649227491863,0.07438538758618177,0.0760774443753153,0.07191557698005469,0.07126983730499553,0.07111964909700484
IE,0.06629288665390064,0.06592316705259851,0.06783714380589644,0.06604915302453006,0.06183297307620936,0.06167315370881407
EL,0.039994781258441435,0.03748784360867621,0.02636906316104189,0.0409479170849617,0.03921999396992678,0.03909223375389846
ES,0.04952834765662542,0.05057039047907385,0.05102914177752591,0.05243302396544815,0.04737336446129809,0.04691955911865332
FR,0.055406657958806914,0.055775391207013414,0.05724820069285246,0.05688649001497706,0.053578413810794354,0.05335992966197309
HR,0.039124718057941404,0.03552629494673561,0.03816888409174589,0.037253162465411944,0.037533654406963934,0.03744870513738395
IT,0.03916729825649141,0.04021731532080548,0.04117990122637038,0.042396774476621026,0.038258947922940864,0.038104667073857915
CY,0.05820411789398318,0.06035938697628491,0.05915371324378407,0.058811840085410384,0.05405694267313956,0.0540195178988009
LV,0.058655637624841106,0.05751792588339405,0.060387330690398776,0.05366990176820504,0.05424858951331376,0.054183409609100765
LT,0.05289852515087956,0.05219814638917608,0.056064504131735575,0.05174691024234028,0.04848603108652666,0.04832598043818456
LU,0.051977502714228546,0.051821893437670706,0.0544895835205682,0.05595097037584355,0.05273773950058062,0.05275608638149949
HU,0.034947624924588264,0.035587426482397,0.033826753432366886,0.03577754728467554,0.037547058058631406,0.037372187756143815
MT,0.040084171838982705,0.040817390667717036,0.04229443468412235,0.039961141109117526,0.0340713794780725,0.03418146876300957
NL,0.048989989937184425,0.04938003886392846,0.05105127218746167,0.04902724131951464,0.0452474179485018,0.04516060086164272
AT,0.05210844597715362,0.05321042966102817,0.054447254809061235,0.05293665006715123,0.050810077477205486,0.050959049841477484
PL,0.03382294690480882,0.03312649239433843,0.03232078337600902,0.030403021039206113,0.031184608251943656,0.031154021797677497
PT,0.051934947424578166,0.05309233873614679,0.0534592559316172,0.0550124611506426,0.05022277128715117,0.05007544232131082
RO,0.028405746522536638,0.02840246722101855,0.027350656617920435,0.028978082365972564,0.02792131212718575,0.028045248104515922
SI,0.04345110778278651,0.04512437437731885,0.045324534481161485,0.04595326112121674,0.04413773236787607,0.04405008911498565
SK,0.03805398135026809,0.038900412579672056,0.038210681025974136,0.03952640161124739,0.039644273444409565,0.03964297445690714
FI,0.09730525661818637,0.09758205852722578,0.09834726002184929,0.09686701023126594,0.09652653971994335,0.09642848908208322
SE,0.09554538589259282,0.09582225206721771,0.09660817400272417,0.09347753837009183,0.09234166014807124,0.09207853640805189
